,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
91,2008,1,25,0,5,57,91,44.53008,-111.00425,9.835,1.2058014698477255
92,2008,1,25,23,30,16,92,44.54877,-110.80204,3.421,1.1252877813309548
93,2008,1,25,23,51,33,93,44.54876,-110.80243,2.826,0.9084047153876164
94,2008,1,26,0,22,41,94,44.54938,-110.80268,3.093,0.8740750444764506
95,2008,1,26,0,35,53,95,44.54429,-110.80186,3.567,1.7134490225151444
96,2008,1,26,0,45,33,96,44.5492,-110.80206,3.182,0.8006757863051209
97,2008,1,26,0,59,54,97,44.54726,-110.80176,1.7,1.0336947375832548
98,2008,1,26,1,21,26,98,44.54913,-110.80056,2.924,0.8947331444977744
99,2008,1,26,1,39,54,99,44.54758,-110.80182,1.732,0.9136485684352548
100,2008,1,26,1,43,43,100,44.54802,-110.80178,2.374,2.1887964470663435
101,2008,1,26,2,5,24,101,44.54656,-110.80229,1.878,0.8511067704342506
102,2008,1,26,3,0,21,102,44.54791,-110.80216,2.454,1.126907738895795
103,2008,1,26,3,6,47,103,44.54814,-110.80143,3.581,1.0276218561511254
104,2008,1,26,3,48,36,104,44.54866,-110.80123,3.132,0.8137364839323649
105,2008,1,26,3,59,49,105,44.54866,-110.80189,3.321,1.2349276603984618
106,2008,1,26,4,8,12,106,44.54869,-110.80176,3.329,0.9945126590365824
107,2008,1,26,4,13,53,107,44.5487,-110.8022,3.39,0.9870831369647248
108,2008,1,26,4,15,44,108,44.54894,-110.80416,4.14,1.298876760443413
109,2008,1,26,4,15,59,109,44.54883,-110.80233,3.322,1.45963046012898
110,2008,1,26,4,16,53,110,44.54984,-110.80158,2.84,0.9158037695772352
111,2008,1,26,4,20,3,111,44.54845,-110.80067,3.217,1.2021248861358602
112,2008,1,26,4,29,58,112,44.54274,-110.79824,4.011,1.4963557289906506
113,2008,1,26,4,34,59,113,44.54843,-110.80253,2.711,0.8634230325112684
114,2008,1,26,4,41,11,114,44.54333,-110.79988,3.999,1.7206886354760986
115,2008,1,26,4,53,30,115,44.54378,-110.80117,4.025,1.5519766612102706
116,2008,1,26,4,58,23,116,44.54897,-110.80458,3.126,1.0347444909260428
117,2008,1,26,11,48,5,117,44.54313,-110.80204,4.36,0.9187892202779808
118,2008,1,27,12,19,5,118,44.72022,-111.09496,6.635,0.8100828298606982
119,2008,1,28,20,11,16,119,44.75579,-111.18956,7.038,1.0514974446280203
120,2008,1,28,21,18,17,120,44.73954,-111.16174,6.116,0.9691347695255684
121,2008,1,29,11,2,39,121,44.77443,-111.07223,4.891,1.7298213016884292
122,2008,1,30,18,3,29,122,44.71992,-110.98857,6.449,1.3463253821468564
123,2008,1,31,1,17,42,123,44.72012,-110.98901,6.433,1.1626757521288384
124,2008,1,31,12,57,47,124,44.71958,-110.98814,6.45,1.2461581339903554
125,2008,1,31,13,43,10,125,44.73994,-111.16195,6.064,1.0576047245631477
126,2008,1,31,14,59,1,126,44.55979,-110.59656,3.079,1.1951088768409937
127,2008,1,31,23,18,45,127,44.7754,-110.93165,3.956,1.0429422128596342
128,2008,2,1,2,3,27,128,44.71014,-111.13936,4.117,1.4286660449061286
129,2008,2,1,2,45,3,129,44.71015,-111.14004,4.09,1.1986333495892465
