# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     1.985         1         0         12400
     1.942         0         2         12408
     3.081         0         1         12427
     1.932         0         1         12430
     1.476         0         1         12445
     1.428         0         1         12448
     2.157         0         2         12458
     2.264        24        12         12479
     1.702         1         1         12523
     1.530         1         0         12530
     1.534         1         0         12543
     1.792         2         1         12583
     1.393         0         1         12596
     1.484         1         1         12598
     1.663         0         1         12610
     1.254         1         0         12625
     1.873         1         0         12654
     1.787         4         1         12683
     1.754         1         1         12708
     1.716         3         1         12721
     2.961        12        11         12756
     1.555         1         0         12795
     2.538         3         0         12800
     1.326         0         1         12832
     2.506         0         1         12859
     1.437         1         0         12871
     2.984        23        28         12935
     1.349         1         0         12894
     2.427        12         0         12950
     1.723         1         0         12951
     1.758         2         0         13010
     1.938         1         0         13049
     1.758         0         3         13067
     1.411         0         1         13081
     1.842         0         5         13090
     1.506         0         1         13096
     2.875         2         3         13106
     2.347         4        13         13165
     1.521         1         6         13208
     2.499         1         0         13222
     2.081         2         0         12817
     1.808         4         0         13253
     1.457         1         0         13268
     2.470         2        11         13295
     1.774         1         0         13284
     1.987         1         0         13293
     1.508         2         0         13307
     1.961         1         4         13318
     2.204         1         2         13340
     1.287         0         1         13345
     1.362         0         1         13367
     1.384         0         1         13389
     1.931         1         0         13398
     2.148         0         2         13446
     1.517         0         2         13453
     1.846         0         1         13460
     2.260        23        12         13488
     3.140        20         3         13532
     1.637         3         0         13558
     1.321         0         1         13574
     2.440         1         2         13623
     1.604         0         1         13604
     1.908         1         0         13605
     2.145         3         7         13615
     3.630       127       168         13959
     1.892         4         0         13738
     2.186         4        10         14134
     1.600         1         0         14248
     1.731         2         0         14280
     1.884         1         0         14286
     1.592         0         1         14302
     2.218         4         1         14325
     1.580         0         1         14349
     2.236         2         1         14350
     1.748         0         2         14359
     1.618         3         0         14372
     1.719         0         2         14393
     1.731         0         1         14410
     2.352         0         6         14430
     2.594         3         2         14496
     2.150         1         0         14480
     1.606         0         1         14518
     1.823         1         0         14525
     1.535         0         1         14536
     1.376         0         1         14539
     1.299         0         1         14541
     1.356         0         1         14544
     2.824         1         1         14551
     1.413         0         1         14572
     2.031         1         1         14584
     2.394         2         0         14564
     1.536         0         1         14598
     1.306         0         1         14607
     2.449         0         2         14617
     2.124         3         7         14640
     3.337         1         0         14647
     2.295         7         9         14679
     1.456         0         1         14663
     1.620         1         0         14696
     1.711         0         1         14723
     1.938         1         0         14731
     2.407         9         4         14751
     1.491         0         2         14791
     1.982         2         0         14798
     1.843         1         0         14809
     2.021         0         1         14817
     1.808         0         1         14829
     2.318         0         1         14842
     2.149         0         3         14850
     2.126         1         5         14871
     1.747         1         1         14873
     1.475         1         0         14877
     1.753         0         1         14881
     4.112         2         0         14855
     1.764         2         1         14901
     1.861         1         0         14907
     2.256         3        10         14935
     1.235         0         1         14944
     1.684         1         0         14967
     3.130        14         1         14975
     1.855         1         0         14981
     1.933         0         2         14987
     2.255         2         0         14997
     3.932        73        46         15147
     3.330         5         0         15065
     2.322        13         2         15082
     1.664         3         0         15110
     2.278         0         2         15275
     2.669         3         0         15282
     2.351         2         2         15303
     2.125         9         5         15400
     2.245         3         0         15421
     2.033         1         0         15450
     2.434         2         0         15469
     1.737         0         1         15475
     2.708         0         1         15478
     1.580         0         0             7
     1.401         0         0            15
     1.321         0         0            56
     1.551         0         0            63
     1.290         0         0            68
     1.206         0         0            91
     1.730         0         0           121
     1.429         0         0           128
     1.273         0         0           135
     2.262         0         0           154
     1.710         0         0           155
     1.268         0         0           168
     1.956         0         0           188
     1.213         0         0           189
     1.243         0         0           197
     1.846         0         0           200
     1.917         0         0           201
     1.465         0         0           204
     1.880         0         0           262
     1.301         0         0           279
     1.262         0         0           284
     1.298         0         0           286
     1.754         0         0           289
     1.309         0         0           292
     1.395         0         0           298
     1.335         0         0           299
     1.433         0         0           300
     1.797         0         0           302
     1.881         0         0           304
     1.513         0         0           308
     1.315         0         0           312
     1.333         0         0           316
     1.587         0         0           317
     1.685         0         0           323
     1.238         0         0           330
     1.292         0         0           351
     2.035         0         0           355
     1.230         0         0           380
     1.316         0         0           410
     1.318         0         0           432
     1.429         0         0           433
     1.273         0         0           463
     1.319         0         0           467
     1.256         0         0           478
     1.518         0         0           479
     1.457         0         0           521
     1.502         0         0           575
     1.414         0         0           583
     1.211         0         0           584
     1.945         0         0           586
     1.369         0         0           623
     1.316         0         0           625
     1.754         0         0           628
     1.719         0         0           633
     1.209         0         0           666
     1.225         0         0           687
     1.225         0         0           694
     1.953         0         0           699
     1.931         0         0           700
     1.329         0         0           706
     1.560         0         0           720
     1.259         0         0           724
     1.856         0         0           726
     2.180         0         0           729
     1.263         0         0           730
     1.780         0         0           733
     1.978         0         0           740
     1.315         0         0           755
     1.498         0         0           760
     1.693         0         0           768
     1.376         0         0           772
     1.218         0         0           774
     1.458         0         0           862
     2.010         0         0           895
     1.378         0         0           897
     1.765         0         0          1185
     1.302         0         0          1423
     1.339         0         0          1456
     1.789         0         0          1457
     1.493         0         0          1468
     1.993         0         0          1482
     1.377         0         0          1483
     3.009         0         0          1484
     1.232         0         0          1486
     1.305         0         0          1487
     1.503         0         0          1489
     1.646         0         0          1499
     1.478         0         0          1504
     1.367         0         0          1505
     1.236         0         0          1508
     1.512         0         0          1513
     1.349         0         0          1514
     1.324         0         0          1520
     1.243         0         0          1530
     1.295         0         0          1533
     1.356         0         0          1539
     1.217         0         0          1542
     2.199         0         0          1544
     1.245         0         0          1545
     1.284         0         0          1549
     1.283         0         0          1561
     1.363         0         0          1565
     1.273         0         0          1568
     1.506         0         0          1574
     1.467         0         0          1576
     2.032         0         0          1581
     1.919         0         0          1596
     1.852         0         0          1624
     1.833         0         0          1662
     1.392         0         0          1667
     1.376         0         0          1670
     1.664         0         0          1752
     1.360         0         0          1754
     1.655         0         0          1755
     1.708         0         0          1759
     1.208         0         0          1790
     1.591         0         0          1794
     1.411         0         0          1797
     1.374         0         0          1798
     1.406         0         0          1810
     1.618         0         0          1813
     1.856         0         0          1814
     2.641         0         0          1831
     1.325         0         0          1844
     1.462         0         0          1848
     2.493         0         0          1853
     1.341         0         0          1857
     1.571         0         0          1861
     1.910         0         0          1865
     1.283         0         0          1867
     1.304         0         0          1872
     1.219         0         0          1874
     1.664         0         0          1875
     1.216         0         0          1876
     2.195         0         0          1879
     1.710         0         0          1883
     1.567         0         0          1889
     1.540         0         0          1894
     1.532         0         0          1895
     1.228         0         0          1896
     1.397         0         0          1897
     1.264         0         0          1900
     1.506         0         0          1911
     1.708         0         0          1913
     1.433         0         0          1916
     1.513         0         0          1929
     1.437         0         0          1930
     1.270         0         0          1931
     2.345         0         0          1933
     2.345         0         0          1934
     1.263         0         0          1945
     1.354         0         0          1947
     1.355         0         0          2007
     1.415         0         0          2011
     1.411         0         0          2018
     1.498         0         0          2020
     1.424         0         0          2022
     1.311         0         0          2027
     1.604         0         0          2028
     1.738         0         0          2033
     1.884         0         0          2049
     2.071         0         0          2050
     1.622         0         0          2054
     1.342         0         0          2061
     1.214         0         0          2062
     1.401         0         0          2063
     1.641         0         0          2066
     1.312         0         0          2069
     1.289         0         0          2070
     1.324         0         0          2074
     1.749         0         0          2075
     1.341         0         0          2080
     1.823         0         0          2082
     1.727         0         0          2083
     1.756         0         0          3509
     1.377         0         0          3590
     2.130         0         0          4084
     1.483         0         0          4266
     1.233         0         0          4271
     1.222         0         0          4281
     1.360         0         0          4303
     1.336         0         0          4313
     1.563         0         0          4317
     1.301         0         0          4318
     1.975         0         0          4322
     1.270         0         0          4325
     1.468         0         0          4333
     2.240         0         0          4354
     1.740         0         0          4379
     1.280         0         0          4382
     1.363         0         0          4387
     1.276         0         0          4398
     1.236         0         0          4404
     1.360         0         0          4409
     1.418         0         0          4412
     1.516         0         0          4413
     1.498         0         0          4416
     2.586         0         0          4417
     1.294         0         0          4418
     1.414         0         0          4426
     1.634         0         0          4428
     1.211         0         0          4435
     1.628         0         0          4439
     1.622         0         0          4448
     1.327         0         0          4453
     1.988         0         0          4499
     2.062         0         0          4500
     2.146         0         0          4503
     1.217         0         0          4505
     1.223         0         0          4512
     1.503         0         0          4519
     1.565         0         0          4529
     2.240         0         0          4549
     1.250         0         0          4553
     1.364         0         0          4554
     1.639         0         0          4561
     1.422         0         0          4563
     1.712         0         0          4564
     2.079         0         0          4570
     2.390         0         0          4573
     1.285         0         0          4579
     1.473         0         0          4584
     1.321         0         0          4587
     1.278         0         0          4589
     1.345         0         0          4592
     1.408         0         0          4595
     1.453         0         0          4596
     1.432         0         0          4607
     1.824         0         0          4609
     1.729         0         0          4616
     1.700         0         0          4631
     1.309         0         0          4632
     1.849         0         0          4650
     1.524         0         0          4657
     1.467         0         0          4658
     2.054         0         0          4660
     2.110         0         0          4661
     1.236         0         0          4674
     1.209         0         0          4679
     1.382         0         0          4681
     1.238         0         0          4687
     1.350         0         0          4693
     1.313         0         0          4694
     1.225         0         0          4695
     1.449         0         0          4696
     1.668         0         0          4697
     1.265         0         0          4701
     1.449         0         0          4706
     1.449         0         0          4705
     1.849         0         0          4717
     1.717         0         0          4719
     1.368         0         0          4720
     1.877         0         0          4738
     1.258         0         0          4742
     1.433         0         0          4743
     2.054         0         0          4745
     1.595         0         0          4750
     2.098         0         0          4753
     1.655         0         0          4756
     1.323         0         0          4760
     1.230         0         0          4763
     1.904         0         0          4765
     1.267         0         0          4766
     1.784         0         0          4768
     1.510         0         0          4774
     1.338         0         0          4775
     1.356         0         0          4778
     1.414         0         0          4780
     1.352         0         0          4782
     1.308         0         0          4796
     1.856         0         0          4799
     1.519         0         0          4802
     1.443         0         0          4804
     2.558         0         0          4807
     1.340         0         0          4814
     1.682         0         0          4816
     1.275         0         0          4825
     1.385         0         0          4828
     1.291         0         0          4836
     1.315         0         0          4847
     1.408         0         0          4848
     1.904         0         0          4852
     1.488         0         0          4853
     2.100         0         0          4856
     1.973         0         0          4860
     1.244         0         0          4869
     1.774         0         0          4882
     1.352         0         0          4885
     1.337         0         0          4891
     1.232         0         0          4907
     1.242         0         0          4908
     1.440         0         0          4909
     1.417         0         0          4910
     1.535         0         0          4911
     1.249         0         0          4913
     1.222         0         0          4914
     1.867         0         0          4916
     1.635         0         0          4918
     1.270         0         0          4919
     1.363         0         0          4920
     1.500         0         0          4928
     1.268         0         0          4929
     1.290         0         0          4931
     1.346         0         0          4932
     1.343         0         0          4934
     1.225         0         0          4937
     1.241         0         0          4941
     2.013         0         0          4948
     2.030         0         0          4952
     1.356         0         0          4953
     1.206         0         0          4954
     1.423         0         0          4959
     1.876         0         0          4960
     1.733         0         0          4964
     1.563         0         0          4968
     1.449         0         0          4974
     1.389         0         0          4978
     1.215         0         0          4979
     1.341         0         0          4980
     1.815         0         0          4981
     1.616         0         0          4989
     1.537         0         0          4990
     1.216         0         0          4994
     2.513         0         0          4996
     1.832         0         0          5017
     1.684         0         0          5023
     1.566         0         0          5029
     1.472         0         0          5031
     1.549         0         0          5033
     1.385         0         0          5045
     1.545         0         0          5059
     1.399         0         0          5075
     1.676         0         0          5077
     1.737         0         0          5079
     1.592         0         0          5083
     1.409         0         0          5086
     1.606         0         0          5100
     1.742         0         0          5110
     1.207         0         0          5114
     1.472         0         0          5116
     1.424         0         0          5117
     1.926         0         0          5121
     1.362         0         0          5122
     1.749         0         0          5145
     1.615         0         0          5152
     1.443         0         0          5157
     1.425         0         0          5161
     1.786         0         0          5167
     1.221         0         0          5169
     1.822         0         0          5188
     1.212         0         0          5189
     1.217         0         0          5191
     1.291         0         0          5196
     1.369         0         0          5206
     1.636         0         0          5222
     1.208         0         0          5226
     1.206         0         0          5237
     1.587         0         0          5263
     1.248         0         0          5265
     1.465         0         0          5267
     1.311         0         0          5279
     1.458         0         0          5280
     1.597         0         0          5281
     1.338         0         0          5293
     2.104         0         0          5303
     1.325         0         0          5305
     1.980         0         0          5307
     1.803         0         0          5324
     1.367         0         0          5327
     1.266         0         0          5328
     1.289         0         0          5335
     1.587         0         0          5336
     1.339         0         0          5341
     1.641         0         0          5342
     1.316         0         0          5343
     1.292         0         0          5345
     1.598         0         0          5357
     1.233         0         0          5361
     1.650         0         0          5450
     1.288         0         0          5451
     1.289         0         0          5480
     1.455         0         0          5495
     1.211         0         0          5505
     1.858         0         0          5509
     1.857         0         0          5526
     1.396         0         0          5527
     1.625         0         0          5556
     2.000         0         0          5603
     1.331         0         0          5609
     1.402         0         0          5612
     1.305         0         0          5616
     1.254         0         0          5619
     1.428         0         0          5623
     1.308         0         0          5628
     1.745         0         0          5633
     1.397         0         0          5643
     1.673         0         0          5644
     1.200         0         0          5647
     1.392         0         0          5649
     1.313         0         0          5664
     1.370         0         0          5667
     1.452         0         0          5672
     1.273         0         0          5673
     1.203         0         0          5677
     1.263         0         0          5684
     1.409         0         0          5703
     1.246         0         0          5711
     1.257         0         0          5755
     1.549         0         0          5760
     1.317         0         0          5776
     1.268         0         0          5779
     1.228         0         0          5812
     1.415         0         0          5813
     1.727         0         0          5815
     1.330         0         0          5820
     1.337         0         0          5821
     2.061         0         0          5823
     1.394         0         0          5824
     1.502         0         0          5825
     1.203         0         0          5829
     1.321         0         0          5833
     1.459         0         0          5835
     1.418         0         0          5837
     1.351         0         0          5849
     1.759         0         0          5851
     1.296         0         0          5877
     1.252         0         0          5925
     1.300         0         0          5942
     1.550         0         0          5946
     1.311         0         0          5951
     1.495         0         0          5959
     1.265         0         0          5967
     1.235         0         0          5968
     1.385         0         0          5971
     1.405         0         0          5976
     2.128         0         0          5979
     1.465         0         0          5982
     1.293         0         0          6008
     1.229         0         0          6010
     1.817         0         0          6042
     1.312         0         0          6214
     1.275         0         0          6219
     1.491         0         0          6223
     1.758         0         0          6234
     1.276         0         0          6248
     1.258         0         0          6252
     1.266         0         0          6288
     1.218         0         0          6323
     1.207         0         0          6342
     1.587         0         0          6351
     1.654         0         0          6354
     1.455         0         0          6359
     1.729         0         0          6366
     1.809         0         0          6368
     1.608         0         0          6373
     1.343         0         0          6374
     1.317         0         0          6382
     1.386         0         0          6461
     1.364         0         0          6467
     1.415         0         0          6502
     1.270         0         0          6527
     1.276         0         0          6533
     1.314         0         0          6535
     1.266         0         0          6551
     2.117         0         0          6554
     1.872         0         0          6566
     1.451         0         0          6581
     1.427         0         0          6584
     1.478         0         0          6603
     1.200         0         0          6604
     1.250         0         0          6606
     1.749         0         0          6620
     1.248         0         0          6627
     1.366         0         0          6634
     1.257         0         0          6665
     1.446         0         0          6667
     1.294         0         0          6702
     1.749         0         0          6712
     1.202         0         0          6717
     1.525         0         0          6810
     2.023         0         0          6827
     1.322         0         0          6831
     1.413         0         0          6839
     1.825         0         0          6842
     1.657         0         0          6857
     1.750         0         0          6859
     1.285         0         0          6863
     1.438         0         0          6873
     1.280         0         0          6901
     2.815         0         0          7049
     1.692         0         0          7082
     2.797         0         0          7084
     2.797         0         0          7085
     1.647         0         0          7088
     1.539         0         0          7094
     2.265         0         0          7095
     2.358         0         0          7096
     1.672         0         0          7121
     2.051         0         0          7136
     1.464         0         0          7287
     1.447         0         0          7327
     1.472         0         0          7331
     1.427         0         0          7338
     1.430         0         0          7340
     1.845         0         0          7344
     1.443         0         0          7394
     1.224         0         0          7396
     2.052         0         0          7398
     1.433         0         0          7400
     1.414         0         0          7405
     1.809         0         0          7408
     1.245         0         0          7409
     1.281         0         0          7419
     1.372         0         0          7427
     1.435         0         0          7438
     1.480         0         0          7440
     1.298         0         0          7467
     1.761         0         0          7471
     1.610         0         0          7484
     1.238         0         0          7498
     1.255         0         0          7499
     1.306         0         0          7502
     2.964         0         0          7503
     1.252         0         0          7512
     1.231         0         0          7514
     1.265         0         0          7516
     1.651         0         0          7533
     1.506         0         0          7540
     1.467         0         0          7544
     1.429         0         0          7546
     1.507         0         0          7558
     1.386         0         0          7562
     1.266         0         0          7588
     1.446         0         0          7597
     1.364         0         0          7626
     1.408         0         0          7627
     1.780         0         0          7653
     2.271         0         0          7658
     2.461         0         0          7667
     2.461         0         0          7668
     1.719         0         0          7670
     1.335         0         0          7671
     1.389         0         0          7673
     2.548         0         0          7679
     2.548         0         0          7678
     1.568         0         0          7685
     1.278         0         0          7691
     1.404         0         0          7732
     1.509         0         0          7740
     1.303         0         0          7743
     1.293         0         0          7746
     1.775         0         0          7759
     1.775         0         0          7760
     1.229         0         0          7771
     1.299         0         0          7774
     1.908         0         0          7776
     1.361         0         0          7780
     1.360         0         0          7793
     1.787         0         0          7794
     1.295         0         0          7795
     1.322         0         0          7796
     1.412         0         0          7801
     1.914         0         0          7803
     1.207         0         0          7806
     1.589         0         0          7812
     1.806         0         0          7816
     1.264         0         0          7819
     1.632         0         0          7823
     1.365         0         0          7831
     1.967         0         0          7835
     1.260         0         0          7838
     1.779         0         0          7840
     1.551         0         0          7850
     3.030         0         0          7855
